KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,11/8/2018 20:44,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,4.31,17.51,1.008,97.2,97.2,10.2,227.1,1.432,1.11,1.08,1648.2,0,NA,-88.3,1.02,38.90115,-92.34187,221.1,0,12,741.6
,,,STANDARD DEVIATION:,2.28,9.25,1.401,0.6,0.6,0.1,1.5,1.991,0.24,0.24,3282.56,0,0.09,5.4,1.558,0,0.00001,0.6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,18E100678,18E100678,18E100303,17D108766,17D108766,17D108766,18E106369,18E100303,18E100678,18E100678,18E100545,18E100545,18E106369,18E106369,18E100303,18E100114,18E100114,18E100114,18E100114,18E100114,18E100114
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Depth m,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,BGA PC RFU,BGA PC ug/L,Turbidity FNU,TSS mg/L,pH,pH mV,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/26/2018,12:14:47,0,BETHEL,1.5,6.09,0.001,98,98,10.38,230.1,0.002,1.55,1.52,8213.31,0,8.12,-83.2,-0.09,38.90115,-92.34187,221.3,0,12,741.6
10/26/2018,12:15:17,0,BETHEL,4.21,17.11,0.043,97.4,97.4,10.21,226.1,0.061,0.96,0.93,4.89,0,8.36,-97.1,0.003,38.90115,-92.34187,221.7,0,12,741.6
10/26/2018,12:15:47,0,BETHEL,3.3,13.41,0.09,97.1,97.1,10.18,226.1,0.128,0.93,0.9,4.9,0,8.26,-91.5,0.012,38.90115,-92.34186,221.6,0,12,741.6
10/26/2018,12:16:17,0,BETHEL,4.1,16.68,1.258,97.1,97.1,10.17,226.5,1.788,0.95,0.91,4.98,0,8.18,-86.5,1.187,38.90115,-92.34187,221.1,0,12,741.6
10/26/2018,12:16:47,0,BETHEL,8.42,34.24,3.646,96.2,96.2,10.07,226.8,5.183,1.16,1.12,12.91,0,8.11,-82.9,3.99,38.90115,-92.34187,220,0,12,741.6
