Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/18/2025 19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,2.43,3.52,117,0.415,108.4,106.2,109.4,8.18,177.2,0.588,0.05,109.2,2.06,9,71,NA,-90.7,28.804,0.49,38.08205,-91.44711,272.1,0,12,736.1
,,,STANDARD DEVIATION:,0.16,0.65,51.6,0.393,47.9,1.3,1.3,0.06,0.3,0.556,0.02,48.2,0.42,2.5,31,0.01,0.3,0.292,0.407,0,0,0.1,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23L101366,24D104467,18D101258,18F101461,18D101258,17D108766,17D108766,17D108766,20B120436,18F101461,18D101258,18D101258,23L101366,24D104467,18D101258,20B120436,20B120436,18D101258,18F101461,17E100519,17E100519,17E100519,17E100519,17E100519,17E100519
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
7/16/2025,10:29:19,0,111C80182,2.46,4.81,3.3,-0.004,3,107.6,110.8,8.25,177.6,-0.006,0,3,2.85,4.97,2,8.04,-90.2,29.112,0.004,38.08205,-91.44711,272.1,0,12,736.1
7/16/2025,10:29:20,0,111C80182,2.26,3.5,120.7,0.005,111,107.4,110.7,8.25,177.3,0.006,0.05,112,2.3,6.57,73,8.05,-90.7,29.075,0.047,38.08205,-91.44711,272.1,0,12,736.2
7/16/2025,10:29:21,0,111C80182,2.18,2.61,144.5,0.178,133.1,107,110.2,8.22,176.8,0.252,0.06,134.2,1.62,8.73,87,8.06,-91.3,29.033,0.325,38.08205,-91.44711,272.1,0,12,736.2
7/16/2025,10:29:22,0,111C80182,2.52,3.44,145.3,0.532,134.5,105.9,109.1,8.16,177,0.754,0.06,135.6,1.69,10.84,88,8.05,-91,28.722,0.582,38.08205,-91.44711,272.1,0,12,736.2
7/16/2025,10:29:23,0,111C80182,2.55,3.33,144.9,0.719,134.7,105.2,108.4,8.15,177.3,1.018,0.06,135.7,1.84,11.31,88,8.05,-90.6,28.54,0.877,38.08205,-91.44711,272.2,0,12,736.2
7/16/2025,10:29:24,0,111C80182,2.63,3.41,143.6,1.062,134,104.1,107.2,8.08,177.3,1.505,0.06,134.9,2.03,11.57,88,8.05,-90.4,28.34,1.103,38.08205,-91.44711,272,0,12,736.1
