Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/13/2025 12:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN VALUE:,,,,,2.96,4.98,742.1,2.93,2.05,134.4,148.2,96,0.07,149.5,0.624,0.632,0.887,101.7,9.22,103.3,38.08227,-91.4472,276.5,189.9,NA,-112.4,12,0,20.118
STANDARD DEVIATION:,,,,,0.21,3.09,0,0.8,0.9,1.2,1.3,1,0,1.3,0.259,0.255,0.368,0.3,0.02,0.3,0.00002,0,0.6,0.7,0.02,1,0,0,0.058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSOR SERIAL NUMBER:,,,,,17D109804,24E102112,18F101544,17D109804,24E102112,18D101260,18D101260,18D101260,18D101260,18D101260,18F101461,18F101461,18F101461,23K103881,23K103881,23K103881,18F101544,18F101544,18F101544,20B120436,20B120436,20B120436,18F101544,18F101544,18D101260
TIME (HH:MM:SS),DATE (MM/DD/YYYY),FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,TAL PE RFU,BAROMETER MMHG,CHLOROPHYLL RFU,CHLOROPHYLL RFU,COND µS/CM,SPCOND µS/CM,TDS MG/L,SAL PSU,NLF COND µS/CM,DEPTH M,VERTICAL POSITION M,PRESSURE PSI A,ODO % SAT,ODO MG/L,ODO % CB,GPS LATITUDE °,GPS LONGITUDE °,ALTITUDE M,ORP MV,PH,PH MV,CABLE PWR V,BATTERY V,TEMP °C
1:11:19 PM,10/10/2025,251010-131019-111c80182.bin,111c80182,0,3.2,4.86,742.1,4.65,1.98,135.4,149.4,97,0.07,150.7,0.835,0.835,1.186,102,9.26,103.6,38.08224,-91.44721,275.2,190.9,8.39,-113.7,12,0,20.084
1:11:18 PM,10/10/2025,251010-131019-111c80182.bin,111c80182,0,3.35,4.74,742.1,4.69,1.95,135.5,149.5,97,0.07,150.8,0.833,0.85,1.183,102,9.26,103.6,38.08224,-91.44721,275.2,190.8,8.38,-113.7,12,0,20.085
1:11:17 PM,10/10/2025,251010-131019-111c80182.bin,111c80182,0,3.38,4.72,742.2,4.56,1.98,135.5,149.5,97,0.07,150.8,0.833,0.827,1.182,102,9.26,103.6,38.08224,-91.44721,275.1,190.8,8.38,-113.6,12,0,20.086
1:11:16 PM,10/10/2025,251010-131019-111c80182.bin,111c80182,0,3.33,4.74,742.1,4.29,1.98,135.5,149.6,97,0.07,150.9,0.832,0.821,1.181,102,9.25,103.6,38.08224,-91.44721,275.3,190.8,8.38,-113.6,12,0,20.087
1:11:15 PM,10/10/2025,251010-131019-111c80182.bin,111c80182,0,3.26,4.76,742.1,3.75,1.97,135.5,149.5,97,0.07,150.8,0.84,0.844,1.193,101.9,9.25,103.5,38.08224,-91.44721,275.4,190.7,8.38,-113.6,12,0,20.088
