MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
185,2018-06-20,2018-06-20T12:15:14Z,0,0,28.126,7.39,94.4,1.289,0.3,NA,7.6,8.09,NA,264.9,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:15:36Z,0.085,0.085,28.193,6.61,84.8,1.501,-0.045,NA,6.08,7.97,NA,271.2,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:38Z,0.115,0.115,28.2,6.59,84.5,1.546,-0.065,NA,6.11,7.96,NA,271.4,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:40Z,0.135,0.135,28.206,6.57,84.3,1.58,-0.047,NA,6.13,7.96,NA,271.6,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:42Z,0.16,0.16,28.214,6.56,84.2,1.599,-0.043,NA,6.13,7.95,NA,271.7,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:44Z,0.186,0.186,28.22,6.55,84,1.614,-0.04,NA,6.13,7.95,NA,271.8,NA,NA,NA,NA,NA,NA,973.8666666666667
185,2018-06-20,2018-06-20T12:15:46Z,0.216,0.216,28.222,6.54,83.9,1.619,-0.04,NA,6.16,7.95,NA,271.9,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:48Z,0.245,0.245,28.222,6.53,83.8,1.605,-0.05,NA,6.1,7.95,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:15:50Z,0.277,0.277,28.224,6.52,83.7,1.595,-0.062,NA,6.09,7.95,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:15:52Z,0.307,0.307,28.225,6.52,83.7,1.602,-0.067,NA,6.05,7.95,NA,271.9,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:15:54Z,0.338,0.338,28.225,6.52,83.6,1.623,-0.066,NA,6.1,7.95,NA,271.9,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:15:56Z,0.37,0.37,28.224,6.51,83.6,1.634,-0.052,NA,6.16,7.95,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:15:58Z,0.403,0.403,28.224,6.51,83.5,1.639,-0.054,NA,6.22,7.96,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:00Z,0.434,0.434,28.221,6.5,83.5,1.648,-0.055,NA,6.21,7.96,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:02Z,0.466,0.466,28.219,6.5,83.4,1.628,-0.049,NA,6.23,7.96,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:04Z,0.502,0.502,28.216,6.49,83.3,1.643,-0.064,NA,6.32,7.96,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:06Z,0.536,0.536,28.211,6.49,83.2,1.633,-0.05,NA,6.33,7.97,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:08Z,0.574,0.574,28.207,6.48,83.1,1.662,-0.042,NA,6.32,7.97,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:10Z,0.609,0.609,28.204,6.47,83.1,1.687,-0.023,NA,6.31,7.97,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:12Z,0.64,0.64,28.203,6.47,83,1.749,-0.017,NA,6.29,7.97,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:14Z,0.663,0.663,28.202,6.47,83,1.777,-0.011,NA,6.31,7.98,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:16Z,0.684,0.684,28.201,6.47,83,1.787,-0.015,NA,6.31,7.98,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:18Z,0.714,0.714,28.2,6.46,82.9,1.764,0.005,NA,6.29,7.98,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:20Z,0.747,0.747,28.198,6.46,82.9,1.761,-0.003,NA,6.27,7.98,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:22Z,0.773,0.773,28.197,6.46,82.9,1.707,0.016,NA,6.29,7.98,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:24Z,0.802,0.802,28.195,6.46,82.8,1.669,0.016,NA,6.32,7.99,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:26Z,0.829,0.829,28.192,6.46,82.8,1.64,0.011,NA,6.35,7.99,NA,272,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:28Z,0.857,0.857,28.189,6.45,82.8,1.638,0.013,NA,6.33,7.99,NA,272,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:30Z,0.891,0.891,28.185,6.45,82.7,1.645,0.009,NA,6.26,7.99,NA,272.1,NA,NA,NA,NA,NA,NA,973.8666666666667
185,2018-06-20,2018-06-20T12:16:32Z,0.921,0.921,28.18,6.44,82.6,1.64,0.006,NA,6.33,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:34Z,0.958,0.958,28.173,6.44,82.5,1.624,0.008,NA,6.32,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:36Z,0.993,0.993,28.164,6.43,82.4,1.639,-0.002,NA,6.32,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.4666666666667
185,2018-06-20,2018-06-20T12:16:38Z,1.031,1.031,28.155,6.42,82.3,1.623,-0.011,NA,6.36,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:40Z,1.065,1.065,28.146,6.41,82.1,1.629,-0.019,NA,6.44,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:42Z,1.104,1.104,28.139,6.4,82,1.594,-0.014,NA,6.49,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:44Z,1.14,1.14,28.132,6.39,81.9,1.6,-0.019,NA,6.52,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:46Z,1.181,1.181,28.126,6.38,81.7,1.588,-0.017,NA,6.58,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:48Z,1.217,1.217,28.123,6.37,81.6,1.611,-0.035,NA,6.73,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.7333333333332
185,2018-06-20,2018-06-20T12:16:50Z,1.255,1.255,28.12,6.36,81.4,1.586,-0.031,NA,6.85,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:52Z,1.29,1.29,28.115,6.35,81.3,1.581,-0.047,NA,6.86,8,NA,272.1,NA,NA,NA,NA,NA,NA,973.6
185,2018-06-20,2018-06-20T12:16:54Z,1.326,1.326,28.109,6.33,81.1,1.579,-0.051,NA,6.9,8,NA,272.2,NA,NA,NA,NA,NA,NA,973.6
