MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
111-DA-08-00,2025-06-09,2025-06-09T12:33:52Z,0.145,0.147,24.821,8.82,106.4,0.38,1.34,2.71,NA,8.05,55.4,119.4,0.06,78,0.01401741970604246,38.10627,-91.45498,270.1,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:33:54Z,0.17,0.212,24.846,9.04,109.1,0.41,1.34,3.21,NA,8.11,58.1,119.4,0.06,78,0.01639902014153511,38.10626,-91.45499,270.1,978.4
111-DA-08-00,2025-06-09,2025-06-09T12:33:55Z,0.284,0.37,24.837,9.16,110.6,0.46,1.3,3.4,NA,8.15,58.9,119.5,0.06,78,0.02742242787152967,38.10626,-91.45499,270.1,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:33:56Z,0.461,0.52,24.821,9.3,112.2,0.53,1.37,3.82,NA,8.19,59.9,119.6,0.06,78,0.0445019052803484,38.10626,-91.45499,269.9,978.4
111-DA-08-00,2025-06-09,2025-06-09T12:33:57Z,0.593,0.726,24.781,9.4,113.4,0.62,1.57,4.3,NA,8.21,61.2,119.7,0.06,78,0.05715841045182363,38.10626,-91.45499,270.2,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:33:58Z,0.84,0.914,24.712,9.5,114.5,0.63,1.86,4.73,NA,8.24,62.7,119.7,0.06,78,0.08111050626020685,38.10626,-91.455,270.3,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:33:59Z,1.054,1.155,24.602,9.57,115.1,0.58,2,5.06,NA,8.26,64.6,119.6,0.06,78,0.1017283614589004,38.10626,-91.455,270.5,978.4
111-DA-08-00,2025-06-09,2025-06-09T12:34:00Z,1.258,1.29,24.525,9.65,115.8,0.58,2.01,5.1,NA,8.28,66.4,119.6,0.06,78,0.12139357648339685,38.10625,-91.455,270.6,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:34:01Z,1.487,1.579,24.462,9.71,116.4,0.58,2.11,5.08,NA,8.29,68,119.5,0.06,78,0.14344039194338595,38.10625,-91.45501,270.7,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:34:02Z,1.673,1.741,24.404,9.76,116.9,0.56,2.15,5.34,NA,8.3,69.7,119.4,0.06,78,0.16147250952640177,38.10625,-91.45501,270.8,978.5333333333333
111-DA-08-00,2025-06-09,2025-06-09T12:34:03Z,1.868,1.978,24.372,9.79,117.2,0.54,2.12,5.64,NA,8.3,71.3,119.4,0.06,78,0.18032117583015786,38.10625,-91.45501,270.7,978.4
111-DA-08-00,2025-06-09,2025-06-09T12:34:04Z,2.074,2.074,24.315,9.82,117.4,0.55,2.23,5.66,NA,8.3,73.1,119.4,0.06,78,0.20012248230811105,38.10625,-91.45501,270.6,978.5333333333333
