MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
088,2026-03-19,2026-03-19T11:14:45Z,0.573,0.573,8.505,10.17,86.9,2.4,1.15,7.69,NA,7.3,178.7,175.9,0.08,114,0.05545726728361459,39.66308,-92.99524,227.4,988.2666666666668
088,2026-03-19,2026-03-19T11:14:46Z,0.6,0.6,8.573,10.25,87.7,2.67,1.25,8.43,NA,7.32,178.9,175.6,0.08,114,0.05804300489929232,39.66308,-92.99523,227.5,988.1333333333333
088,2026-03-19,2026-03-19T11:14:44Z,0.655,0.655,8.431,10.12,86.3,2.14,1.03,6.76,NA,7.29,178.5,176,0.08,114,0.06341861731083288,39.66308,-92.99524,227.3,988.1333333333333
088,2026-03-19,2026-03-19T11:14:47Z,0.679,0.679,8.616,10.29,88.2,2.8,1.34,9.28,NA,7.32,179.1,175.4,0.08,114,0.06573217201959716,39.66308,-92.99523,227.5,988.1333333333333
088,2026-03-19,2026-03-19T11:14:48Z,0.702,0.702,8.62,10.36,88.8,2.77,1.35,9.58,NA,7.33,179.3,175.5,0.08,114,0.06790963527490473,39.66308,-92.99523,227.5,988.2666666666668
088,2026-03-19,2026-03-19T11:14:49Z,0.757,0.757,8.631,10.45,89.6,2.77,1.3,9.69,NA,7.34,179.6,175.5,0.08,114,0.07328524768644529,39.66308,-92.99523,227.7,988.2666666666668
088,2026-03-19,2026-03-19T11:14:50Z,0.777,0.777,8.652,10.5,90.1,2.79,1.25,9.88,NA,7.35,179.8,175.4,0.08,114,0.07519052803483942,39.66308,-92.99523,227.8,988.2666666666668
088,2026-03-19,2026-03-19T11:14:42Z,1.082,1.082,8.23,10.02,85,1.81,0.91,5.28,NA,7.27,178.1,176,0.08,114,0.10472237343494828,39.66308,-92.99524,227.2,988.1333333333333
088,2026-03-19,2026-03-19T11:14:41Z,1.225,1.225,8.131,9.97,84.4,1.75,0.88,5.12,NA,7.27,177.9,175.9,0.08,114,0.11860370168753404,39.66308,-92.99524,227.2,988.1333333333333
088,2026-03-19,2026-03-19T11:14:40Z,1.372,1.372,7.998,9.98,84.2,1.72,0.81,4.81,NA,7.26,177.8,176,0.08,114,0.13282525857376157,39.66308,-92.99524,227.3,988.2666666666668
088,2026-03-19,2026-03-19T11:14:39Z,1.549,1.549,7.72,9.93,83.2,1.71,0.82,4.51,NA,7.26,177.6,176.2,0.08,115,0.14990473598258028,39.66308,-92.99524,227.2,988.1333333333333
088,2026-03-19,2026-03-19T11:14:38Z,1.702,1.702,7.627,9.88,82.6,1.63,0.77,4.21,NA,7.25,177.3,176,0.08,114,0.16467065868263472,39.66308,-92.99524,227.2,988.2666666666668
088,2026-03-19,2026-03-19T11:14:37Z,1.756,1.756,7.531,9.87,82.4,1.51,0.73,4.03,NA,7.25,177.2,176.1,0.08,114,0.16997822536744694,39.66308,-92.99525,227.2,988.2666666666668
088,2026-03-19,2026-03-19T11:14:36Z,1.99,1.99,7.458,9.85,82.1,1.43,0.72,3.77,NA,7.24,176.9,176.3,0.08,115,0.19256940664126293,39.66308,-92.99525,227.1,988.2666666666668
088,2026-03-19,2026-03-19T11:14:35Z,2.292,2.292,7.398,9.84,81.9,1.33,0.69,3.45,NA,7.24,176.7,176.6,0.08,115,0.22182906913445835,39.66308,-92.99525,227,988.2666666666668
