MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
088buoy,2026-08-05,2026-08-05T10:20:38Z,0.758,0.758,27.139,7.38,92.8,6.18,1,12.15,NA,8.01,38.2,176.3,0.08,115,0.07308111050626022,39.66304,-92.99545,226.8,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:21:59Z,0.936,0.936,27.141,6.55,82.5,6.06,1.01,11.89,NA,8.1,48.5,177.1,0.08,115,0.0902286336418073,39.66312,-92.99546,224.6,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:00Z,1.16,1.16,27.142,6.55,82.5,5.96,1.1,11.43,NA,8.1,48.9,177.1,0.08,115,0.11186717474142624,39.66312,-92.99546,224.7,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:01Z,1.41,1.41,27.148,6.55,82.4,6.12,1.53,11.38,NA,8.09,49.3,177.1,0.08,115,0.1359553620032662,39.66312,-92.99547,225,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:02Z,1.837,1.837,27.153,6.55,82.4,6.25,1.9,11.51,NA,8.1,49.5,177,0.08,115,0.17719107240065324,39.66312,-92.99546,225.3,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:03Z,2.322,2.322,27.146,6.55,82.4,6.5,1.92,11.31,NA,8.09,49.9,177,0.08,115,0.22393848666303756,39.66312,-92.99546,225.5,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:04Z,2.917,2.917,27.143,6.54,82.4,6.35,1.63,11.17,NA,8.08,50.3,177.2,0.08,115,0.2813010342950463,39.66312,-92.99547,225.9,989.0666666666666
088buoy,2026-08-05,2026-08-05T10:22:05Z,3.591,3.591,27.12,6.53,82.2,6.02,1.13,10.99,NA,8.06,51.1,177.3,0.08,115,0.3463527490473598,39.66312,-92.99547,226.1,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:06Z,4.234,4.234,27.015,6.49,81.6,6.01,0.77,10.54,NA,8.01,52.1,177.7,0.08,115,0.40834240609689715,39.66312,-92.99547,226.2,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:07Z,4.628,4.628,26.826,5.71,71.5,5.04,0.76,8.66,NA,7.78,34.9,178.3,0.08,116,0.44637996733805113,39.66311,-92.99547,226.2,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:08Z,5.087,5.087,24.48,5.78,69.5,3.36,0.78,6.16,NA,7.64,-7.6,194.6,0.09,126,0.4909499183451279,39.66311,-92.99547,226.4,989.1999999999999
088buoy,2026-08-05,2026-08-05T10:22:09Z,5.383,5.383,23.876,4.92,58.9,2.31,0.61,3.6,NA,7.51,-30.9,208,0.1,135,0.5195971692977681,39.66311,-92.99547,226.5,989.0666666666666
088buoy,2026-08-05,2026-08-05T10:22:10Z,5.845,5.845,20.912,4.57,52.3,1.6,0.49,2.31,NA,7.4,-58.9,229.7,0.11,149,0.5645753946652151,39.66311,-92.99548,226.6,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:11Z,6.425,6.425,19.439,4.11,45.8,1.14,0.31,1.66,NA,7.21,-75.8,250.1,0.12,163,0.6207131192161133,39.66311,-92.99548,226.6,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:12Z,6.859,6.859,18.535,3.86,41.6,1.04,0.16,1.65,NA,7.13,-84.6,266.6,0.13,173,0.6629014697876974,39.66311,-92.99548,226.7,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:13Z,7.13,7.13,18.099,3.65,38.6,1.02,0.16,1.61,NA,7.08,-91.6,284,0.14,185,0.6890990745781166,39.66311,-92.99548,226.9,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:14Z,7.333,7.333,17.652,3.39,35.9,1.27,0.27,1.93,NA,7.07,-91.4,296.4,0.14,193,0.7088323353293413,39.6631,-92.99548,226.9,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:15Z,7.676,7.676,17.119,3.23,33.7,1.58,0.49,2.53,NA,7.01,-94.7,321.4,0.15,209,0.7419706042460533,39.6631,-92.99548,227,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:52Z,7.757,7.757,16.529,0.65,6.6,2,0.44,3.78,NA,6.82,-135.7,367.4,0.18,239,0.75,39.66306,-92.99546,226.8,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:31Z,7.915,7.915,16.582,1.3,13.3,2.04,0.62,3.37,NA,6.82,-123.3,364,0.18,237,0.765242242787153,39.66307,-92.99548,226.8,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:32Z,7.941,7.941,16.579,1.25,12.8,2.04,0.73,3.37,NA,6.82,-124.6,364.7,0.18,237,0.7677599346761024,39.66307,-92.99548,226.8,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:47Z,7.975,7.975,16.49,0.75,7.6,1.94,0.52,3.55,NA,6.81,-133.8,369.5,0.18,240,0.7710261295590637,39.66306,-92.99546,226.6,988.9333333333334
088buoy,2026-08-05,2026-08-05T10:22:35Z,8,8,16.548,1.11,11.3,2.15,0.68,3.61,NA,6.82,-127,366.7,0.18,238,0.7734757757212848,39.66307,-92.99548,226.8,988.9333333333334
