MULakeNumber,date,dateTime,minDepth_m,maxDepth_m,numberOfMeasurements_temperature,thermoclineDepth_m_thresh0.3,top_metalimnion_m,bottom_metalimnion_m,epilimnion_temp_degC,hypolimnion_temp_degC,above_thermocline_temp_degC,below_thermocline_temp_degC,delta_hypo_epi_waterDensity_kgperm3,metalimnionDensityGradient_kgperm3perm,epiToHypoDensityGradient_kgperm3perm,buoyancyfrequency_1_s2,mixingDepth_m,numberOfMeasurements_do,minDO_mgpL,maxDO_mgpL,minDO_percent,maxDO_percent,DO_mgpL_profileMean,DO_percent_profileMean,epilimnion_DO_mgpL,hypolimnion_DO_mgpL,epilimnion_DO_percent,hypolimnion_DO_percent,depthMaxDOpercentage_m,Oxycline_m,Hypoxycline_m,Anoxycline_m,depthChlMax_m,depthBGAMax_m,depthPEMax_m,ratioMaxBGtochl_RFUperRFU,epilimnion_chlorophyll_RFU,epilimnion_phycocyaninBGA_RFU,epilimnion_phycoerythrinTAL_RFU,ratioEpiBGtochl_RFUperRFU,hypolimnion_orp_mV,bottom0.5m_orp_mV,site_latitude,site_longitude,site_altitude_m,surface_doConcentration_mgpL,surface_temp_degC,surface_pH
003,2022-05-31,2022-05-31T10:59:36Z,0.10033333333333332,15.179333333333334,75,3.1470000000000002,2.3738378149012167,5.115701802663881,22.405358974358975,7.124777777777778,22.03754901960784,8.288522988505747,2.2163348627456116,0.712948365913776,0.24734227552270135,0.018091968717195154,2.3738378149012167,75,0.04,10.5,0.3333333333333333,121.2,3.853022222222222,40.468444444444444,10.439743589743589,1.3820138888888889,120.4025641025641,11.56875,0.2673333333333333,3.2983333333333333,5.8486666666666665,13.421666666666669,2.0273333333333334,0.673,NA,0.1134301270417423,6.416153846153846,0.7702564102564102,NA,0.12004955440994285,113.57986111111111,121.84444444444445,NA,NA,NA,10.494444444444445,22.436999999999998,8.508891729157614
003,2022-06-21,2022-06-21T10:48:42Z,0.05,12.231,114,2.91,5.768224667271385,6.109465177298258,22.05998484848485,6.877295454545455,27.365763157894737,9.986947368421053,2.1485397057588216,0.7117016681205233,0.3417910600811803,0.06048554317374276,5.768224667271385,114,0.59,10.89,4.7,139.4,4.957017543859649,58.598245614035086,7.807272727272728,0.985909090909091,94.88939393939394,8.184090909090909,0.05,2.1245000000000003,5.02,8.883,3.388,3.444,NA,0.2921615201900237,1.8727272727272728,0.6557575757575758,NA,0.35016181229773463,137.85454545454544,143.675,39.341639561403504,-91.15297324561404,240.06929824561405,10.764285714285714,28.611714285714285,8.83
003,2022-07-18,2022-07-18T10:47:04Z,0.036,16.315333333333335,70,2.6990000000000003,1.4220827591518233,6.277377590748513,27.725866666666665,6.0835585585585585,27.311729166666666,8.932358024691357,3.623900503764503,0.689330859488641,0.3423517219737141,0.014208296786166311,1.4220827591518233,70,0.06333333333333334,8.73,0.5,110.73333333333332,2.4235238095238096,29.38142857142857,8.655666666666667,0.191981981981982,110.09666666666666,1.572972972972973,1.1336666666666666,2.2366666666666664,3.9186666666666663,5.005333333333334,3.463333333333334,2.1256666666666666,NA,0.2512218963831867,1.8296666666666668,0.4671666666666667,NA,0.25532883949717616,93.53423423423423,-96.95,39.34134542857143,-91.15287942857142,238.9740476190476,8.606666666666666,27.885444444444445,8.3178146472166965
003,2022-08-08,2022-08-08T10:33:34Z,0.025,10.524,126,3.5495,6.722507800443925,6.926340942321786,21.477,6.558075,28.070934782608695,9.7423875,2.030982692857833,0.23740932396360898,0.3786380093720061,0.035358080188746165,6.722507800443925,126,0.32,7.97,2.5,103.8,3.680873015873016,44.574603174603176,5.31421686746988,0.50575,65.41686746987952,4.1375,0.831,3.0075000000000003,5.003,6.38,3.881,3.937,NA,0.18907563025210086,2.2710843373493974,0.406144578313253,NA,0.17883289124668436,98.6175,103.37777777777778,39.34159611111111,-91.15314412698412,238.5484126984127,7.913333333333333,29.392333333333333,8.38
005,2022-05-31,2022-05-31T12:29:49Z,0.127,14.373,136,2.613,4.098555186462875,5.680687664609217,21.21053125,6.479494382022472,23.449590909090908,7.948157894736842,1.9753564237761339,0.2913783350386766,0.2476139168987495,0.018288982933240407,4.098555186462875,136,0.01,9.63,0.1,111.3,3.7730882352941175,38.31029411764706,9.1396875,1.5651685393258428,103.415625,12.96179775280899,0.127,2.9015,9.364,10.826,3.929,3.929,NA,0.18166089965397925,1.5403125,0.3075,NA,0.19963481436396835,77.65393258426967,-16.816666666666666,NA,NA,NA,9.176,25.0106,8.28
005,2022-06-21,2022-06-21T12:15:54Z,0.008,14.144,163,2.263,4.804007662483681,5.144675460150187,24.993527027027028,6.882176470588235,29.430439024390243,10.424991803278688,2.8582396708928854,0.5978412290634132,0.3946572625370601,0.0635925594402568,4.804007662483681,163,0.32,10.47,2.5,116.6,4.558711656441718,52.71717791411043,8.411621621621622,1.2016470588235295,102.2054054054054,10.136470588235294,2.774,3.9560000000000004,6.335,9.136,3.221,4.626,NA,0.3218884120171674,0.9762162162162162,0.2472972972972973,NA,0.25332225913621265,34.17411764705882,-90,39.02084429447853,-90.92018374233129,168.34601226993865,8.36,29.934545454545454,8.214636638871825
005,2022-07-18,2022-07-18T12:12:25Z,0.14966666666666667,13.324666666666667,76,3.4553333333333334,2.011232473753864,6.120608838222963,28.976166666666668,6.412571428571429,28.070263157894736,8.514380116959064,3.9715206481190535,0.9073815365820012,0.4556052363787613,0.03571271962047239,2.011232473753864,76,0.1,8.346666666666666,0.8,104.2,2.9194298245614037,34.803947368421056,7.960333333333334,0.32666666666666666,103.54,2.6912698412698415,1.838666666666667,3.9673333333333334,5.103666666666666,6.2603333333333335,3.3586666666666667,4.208666666666667,NA,1.1280701754385967,0.615,0.08266666666666667,NA,0.13441734417344173,-40.969047619047615,-114.07777777777777,39.02099671052632,-90.92028499999999,169.41315789473686,7.846666666666667,29.540166666666664,8.13166986469367
005,2022-08-08,2022-08-08T12:14:56Z,0.003,11.611,130,4.4925,5.690086754144165,6.25793355561038,26.818409090909093,7.250155172413793,29.07372727272727,8.816306666666666,3.3242302464498152,0.4547069983776239,0.5459023010371736,0.034380427513550055,5.690086754144165,130,0.51,8.95,4.1,115.3,4.678076923076923,56.87461538461538,7.909090909090909,1.1624137931034484,100.8030303030303,9.782758620689656,2.724,4.827999999999999,7.033,8.633,3.605,3.849,NA,1.010344827586207,1.3263636363636364,0.8031818181818182,NA,0.6055517477724469,15.363793103448275,-50.32,39.02103392307693,-90.92015476923076,166.34153846153848,8.45,31.100142857142856,8.23
011,2022-06-16,2022-06-16T10:24:10Z,0.16,6.706,66,3.4615,4.661135510967046,6.043873545602072,25.735488372093023,14.694333333333333,28.24226923076923,18.64815,2.2899820885509143,0.6252990092125021,0.566214922215426,0.03797279344390368,4.661135510967046,66,0.59,8.81,5.7,114.9,4.608484848484848,57.233333333333334,6.538139534883721,0.6677777777777778,82.3,6.611111111111111,1.967,3.3674999999999997,4.637,5.768,6.706,6.706,NA,0.5185185185185185,0.8541860465116279,0.17767441860465116,NA,0.20800435611216989,11.255555555555555,10.025,NA,NA,NA,8.46,29.207333333333334,8.447977745790569
011,2022-07-06,2022-07-06T12:53:24Z,0.003,14.386,131,7.26,7.256259029623025,7.281473648647397,22.91765573770492,10.901632352941176,22.769451612903225,10.934797101449275,2.0556082326532987,35.60860393043123,0.2852789701625389,0.3495614674275591,7.256259029623025,131,0.12,8.73,1,116.5,2.3851908396946566,29.938167938931297,4.86,0.2164705882352941,61.885245901639344,1.9808823529411765,2.267,7.2375,5.774,6.678,2.643,4.944,NA,0.08310249307479224,1.2918032786885245,0.17327868852459016,NA,0.13413705583756347,-57.80294117647059,-72.85,38.358688931297706,-91.53852541984733,233.26793893129772,8.153333333333334,31.220666666666666,8.149965439277178
