MULakeNumber,date,dateTime,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
001,1989-06-20,1989-06-20,0,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,1,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,2,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,3,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,3.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,5,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-06-20,1989-06-20,6,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,0,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,1,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,2,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,5,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1989-07-24,1989-07-24,6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,0,16,8.5,86.28359770367632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,0.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,1,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,2,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,3,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,5,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,6,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,7,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,8,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-05-17,1990-05-17,9,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,0,26,8.8,108.79723328888646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,0.7,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,1,24,9,107.22188278688616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,2,18,1.1,11.644447489932327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,3,14.8,1,9.892106611016748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,4,12.5,1,9.40032637644524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,5,10.5,1.2,10.773306988602704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-06-19,1990-06-19,6,9,1.2,10.39696605783446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,0,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,1,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,1.2,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,2,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,3,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,4,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1990-07-23,1990-07-23,6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,0,26,7.8,96.43391132424026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,1,24.7,7.3,88.1151406256169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,1.5,22,2.5,28.66824233869127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,2,19.1,0.6,6.496042156658326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,3,13.3,0.4,3.828278557165436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,4,11.5,0.4,3.6753717289385945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,5,10.2,0.4,3.5659196018161765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,6,9.5,0.4,3.507340273415462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001,1991-05-23,1991-05-23,7,8.5,0.4,3.4241044042763984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
