MULakeNumber,date,dateTime,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
003,2018-05-29,2018-05-29 13:58:48,0.043,28.955,7.64,99.3,0.581,-0.46,NA,0.32,NA,204,NA,NA,7.55,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:58:51,0.07,28.963,7.64,99.3,0.5714999999999999,-0.4635,NA,0.315,NA,204.1,NA,NA,7.565,NA,NA,NA,981.8
003,2018-05-29,2018-05-29 13:58:54,0.106,28.968,7.64,99.3,0.581,-0.476,NA,0.31,NA,204.2,NA,NA,7.58,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:58:57,0.162,28.9605,7.64,99.3,0.5825,-0.488,NA,0.315,NA,204.25,NA,NA,7.585,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:00,0.224,28.948,7.63,99.2,0.597,-0.485,NA,0.3,NA,204.3,NA,NA,7.6,NA,NA,NA,981.7333333333332
003,2018-05-29,2018-05-29 13:59:03,0.29400000000000004,28.932,7.63,99.15,0.6415,-0.461,NA,0.275,NA,204.3,NA,NA,7.605,NA,NA,NA,981.8
003,2018-05-29,2018-05-29 13:59:06,0.367,28.914,7.63,99.1,0.669,-0.469,NA,0.26,NA,204.3,NA,NA,7.62,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:09,0.4415,28.9005,7.63,99.05,0.6755,-0.459,NA,0.26,NA,204.3,NA,NA,7.625,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:12,0.518,28.894,7.63,99,0.67,-0.452,NA,0.27,NA,204.3,NA,NA,7.63,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:15,0.597,28.887,7.63,99,0.6385000000000001,-0.455,NA,0.295,NA,204.35,NA,NA,7.645,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:18,0.672,28.882,7.62,99,0.628,-0.464,NA,0.3,NA,204.4,NA,NA,7.65,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:21,0.748,28.878,7.625,99,0.6165,-0.4635,NA,0.315,NA,204.3,NA,NA,7.66,NA,NA,NA,981.8
003,2018-05-29,2018-05-29 13:59:24,0.821,28.874,7.62,98.9,0.608,-0.448,NA,0.31,NA,204.3,NA,NA,7.67,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:27,0.889,28.871,7.62,98.9,0.6275,-0.445,NA,0.3,NA,204.3,NA,NA,7.675,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:30,0.949,28.868,7.62,98.9,0.631,-0.435,NA,0.27,NA,204.3,NA,NA,7.68,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:33,0.9955,28.8665,7.62,98.9,0.6535,-0.426,NA,0.28500000000000003,NA,204.3,NA,NA,7.69,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:36,1.034,28.864,7.62,98.8,0.668,-0.43,NA,0.29,NA,204.3,NA,NA,7.7,NA,NA,NA,981.7333333333332
003,2018-05-29,2018-05-29 13:59:39,1.0705,28.8615,7.62,98.8,0.654,-0.4355,NA,0.28500000000000003,NA,204.3,NA,NA,7.7,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:42,1.105,28.859,7.62,98.8,0.638,-0.443,NA,0.28,NA,204.3,NA,NA,7.71,NA,NA,NA,981.7333333333332
003,2018-05-29,2018-05-29 13:59:45,1.1385,28.854,7.61,98.8,0.6455,-0.4585,NA,0.3,NA,204.3,NA,NA,7.71,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:48,1.17,28.844,7.61,98.8,0.689,-0.462,NA,0.31,NA,204.3,NA,NA,7.72,NA,NA,NA,981.7333333333332
003,2018-05-29,2018-05-29 13:59:51,1.2045,28.744,7.62,98.7,0.788,-0.457,NA,0.31,NA,204.65,NA,NA,7.725,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:54,1.239,28.63,7.63,98.6,0.888,-0.446,NA,0.34,NA,205,NA,NA,7.73,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 13:59:57,1.271,28.506,7.645,98.65,0.964,-0.433,NA,0.365,NA,205.3,NA,NA,7.74,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:00,1.302,28.254,7.68,98.6,1.031,-0.425,NA,0.4,NA,205.6,NA,NA,7.75,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:03,1.3370000000000002,27.9485,8.035,102.65,1.082,-0.4065,NA,0.445,NA,205.6,NA,NA,7.815,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:06,1.373,27.673,8.18,104,1.144,-0.402,NA,0.49,NA,205.3,NA,NA,7.89,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:09,1.4125,27.3345,8.24,104.15,1.2200000000000002,-0.3935,NA,0.56,NA,204.95,NA,NA,7.905,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:12,1.453,25.738,8.52,104.7,1.27,-0.385,NA,0.67,NA,209.6,NA,NA,7.92,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:15,1.495,25.4355,8.825,107.8,1.3504999999999998,-0.392,NA,0.7949999999999999,NA,209.45,NA,NA,7.92,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:18,1.536,25.436,8.74,106.6,1.435,-0.367,NA,0.95,NA,207.8,NA,NA,7.92,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:21,1.5755,25.3025,8.735,106.35,1.507,-0.357,NA,1.08,NA,206.65,NA,NA,7.92,NA,NA,NA,981.8
003,2018-05-29,2018-05-29 14:00:24,1.62,25.1,8.71,105.8,1.59,-0.322,NA,1.21,NA,205.5,NA,NA,7.91,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:27,1.6685,24.8665,8.305,100.4,1.6545,-0.2825,NA,1.345,NA,204.75,NA,NA,7.855,NA,NA,NA,981.8666666666668
003,2018-05-29,2018-05-29 14:00:30,1.723,24.555,8.22,98.8,1.719,-0.282,NA,1.44,NA,204.5,NA,NA,7.8,NA,NA,NA,981.8666666666668
