MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
003,Bowling_Green_East,Bowling Green (East),NA,Bowling Green (East) 1,39.341433988710605,-91.15299251,NA
005,Lincoln,Lincoln,NA,Lincoln 1,39.021113055281894,-90.91999987,NA
011,Peaceful_Valley,Peaceful Valley,NA,Peaceful Valley 1,38.35864017473919,-91.53879742,NA
013,Binder,Binder,NA,Binder 1,38.6,-92.3,NA
014,Tishomingo,Tishomingo,NA,Tishomingo 1,38.32,-90.6,NA
018,Capri,Capri,NA,Capri 1,37.89870785289234,-90.61502276,NA
021,Goose_Creek,Goose Creek,NA,Goose Creek 1,37.98186194949524,-90.32307837,NA
024,Fredricktown_City,Fredricktown City,NA,Fredricktown City 1,37.57701101983076,-90.30864519,NA
030,Wappapello,Wappapello,NA,Wappapello (Deep) 1,36.93,-90.28,NA
032,Ripley,Ripley,NA,Ripley 1,36.65865248370248,-90.95477766,NA
033,Fourche_Creek,Fourche Creek,NA,Fourche Creek 1,36.636470618205536,-91.05273981,NA
036,Clearwater,Clearwater,NA,Clearwater 1,37.14,-90.77,NA
039,Council_Bluff,Council Bluff,NA,Council Bluff 1,37.729194299434006,-90.91182255,NA
040,Sunnen,Sunnen,NA,Sunnen 1,37.95141819286542,-90.92709844,NA
044,Peters,Peters,Fayette,Peters 1,39.165475708721246,-92.73082432,NA
045,Nehai_Tonkayea,Nehai Tonkayea,NA,Nehai Tonkayea 1,39.59108844534883,-92.89048951,NA
046,Thomas_Hill,Thomas Hill,NA,Thomas Hill 1,39.56845112798956,-92.63977055,NA
048,Long_Branch,Long Branch,NA,Long Branch 1,39.75,-92.51,NA
049,Macon,Macon,NA,Macon 1,39.74873679443852,-92.49418618,NA
050,Spring,Spring,NA,Spring 1,40.10055944337695,-92.67807767,NA
053,Memphis_City,Memphis City,NA,Memphis City 1,40.448521991726366,-92.20146035,NA
057,Deer_Ridge,Deer Ridge,NA,Deer Ridge 1,40.18056387177271,-91.82820589,NA
059,Shelbina,Shelbina,NA,Shelbina 1,39.73,-92.04,NA
060,Monroe_City,Monroe City,NA,Monroe City 1,39.62066057635329,-91.73326835,NA
070,North,North,NA,North 1,38.68705635018153,-94.35851174,NA
072,Smithville,Smithville,NA,Smithville 1,39.4,-94.55,NA
074,Watkins_Mill,Watkins Mill,NA,Watkins Mill 1,39.39415882380595,-94.26226512,NA
078,Hamilton_City,Hamilton City,NA,Hamilton City 1,39.74378293154899,-94.036023,NA
081,Pony_Express,Pony Express,NA,Pony Express 1,39.80413575078806,-94.38100955,NA
085,Marie,Marie,NA,Marie 1,40.48721256735268,-93.55312642,NA
087,Brookfield,Brookfield,NA,Brookfield 1,39.79616412844299,-93.02737431,NA
088,Marceline_South,Marceline (South),MarcelineSouth,Marceline (South) 1,39.66296746107628,-92.99574014,NA
089,Truman,Truman,NA,Truman 1,38.27,-93.41,NA
091,Atkinson,Atkinson,NA,Atkinson 1,38.006438235325064,-94.0478976,NA
092,Pomme_De_Terre,Pomme De Terre,NA,Pomme de Terre 1,37.9,-93.32,NA
093,Stockton,Stockton,NA,Stockton 1,37.69,-93.76,NA
095,McDaniel,McDaniel,NA,McDaniel 1,37.3,-93.31,NA
096,Fellows,Fellows,NA,Fellows 1,37.31395106912392,-93.20902754,NA
098,Table_Rock,Table Rock,NA,Table Rock 1,36.6,-93.32,NA
098-AX,Table_Rock,NA,NA,Auxiliary dam,36.60707369,-93.31214699,NA
110,Little_Prairie,Little Prairie,Towell,Little Prairie 1,37.95675138717223,-91.64941757,NA
111,Indian_Hills,Indian Hills,NA,Indian Hills 1,38.10486453410157,-91.45736103,NA
111-C2-0042,Indian_Hills,NA,NA,Indian_Hills Cove 2,38.10167433102795,-91.45444766,NA
111-C5-0095,Indian_Hills,NA,NA,Indian_Hills Cove 5,38.09350349739409,-91.45705743,NA
111-C8-0182,Indian_Hills,NA,NA,Indian_Hills Cove 8,38.08249110774808,-91.44741781,NA
111-DA-01-00,Indian_Hills,NA,NA,Indian_Hills Dam 1,38.10676914285714,-91.45852114,NA
111-DA-02-00,Indian_Hills,NA,NA,Indian_Hills Dam 2,38.10710944444445,-91.45781944,NA
111-DA-03-00,Indian_Hills,NA,NA,Indian_Hills Dam 3,38.10736063,-91.45710938,NA
111-DA-04-00,Indian_Hills,NA,NA,Indian_Hills Dam 4,38.10763148148149,-91.45633259,NA
111-DA-05-00,Indian_Hills,NA,NA,Indian_Hills Dam 5,38.10812888888889,-91.45456278,NA
111-DA-06-00,Indian_Hills,NA,NA,Indian_Hills Dam 6,38.106638181818184,-91.45396977,NA
111-DA-07-00,Indian_Hills,NA,NA,Indian_Hills Dam 7,38.106408139534885,-91.45453326,NA
111-DA-08-00,Indian_Hills,NA,NA,Indian_Hills Dam 8,38.10626555555555,-91.45498578,NA
111-DA-09-00,Indian_Hills,NA,NA,Indian_Hills Dam 9,38.10610109090909,-91.45562036,NA
111-DA-10-00,Indian_Hills,NA,NA,Indian_Hills Dam 10,38.106059433962265,-91.4558866,NA
111-DA-11-00,Indian_Hills,NA,NA,Indian_Hills Dam 11,38.10606576923077,-91.45623154,NA
111-DA-12-00,Indian_Hills,NA,NA,Indian_Hills Dam 12,38.10596240740741,-91.4568437,NA
111-DA-13-00,Indian_Hills,NA,NA,Indian_Hills Dam 13,38.10589,-91.45724255,NA
111-DA-14-00,Indian_Hills,NA,NA,Indian_Hills Dam 14,38.10536159,-91.45822971,NA
112,Shayne,Shayne,NA,Shayne 1,37.898213708029346,-90.64284349,NA
