MULakeNumber,date_yyyy-mm-dd,time_hhmmss,depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,phycoerythrinTAL_RFU,turbidity_FNU,salinity_psu,specificConductivity_uSpcm,tds_mgpL,orp_mV,pH,latitude,longitude,altitude_m,barometerAirHandheld_mbars
446,2026-04-21,09:17:01,0.047,11.325,11.81,108.1,2.47,0.18,7.37,NA,0.21,436.3,284,206.6,8.6,44.22364,-93.55157,304,973.8666666666668
446,2026-04-21,09:17:02,0.114,11.241,11.93,109,2.78,0.2,8.04,NA,0.21,436.1,283,206.5,8.61,44.22364,-93.55157,304.1,973.8666666666668
446,2026-04-21,09:17:03,0.152,11.186,12.04,109.9,2.97,0.18,8.27,NA,0.21,437,284,206.5,8.61,44.22364,-93.55157,304.1,973.8666666666668
446,2026-04-21,09:17:04,0.174,11.157,12.16,110.9,3.1,0.24,8.45,NA,0.21,437.8,285,206.4,8.61,44.22364,-93.55157,304.1,973.8666666666668
446,2026-04-21,09:17:06,0.207,11.191,12.36,112.6,3,0.17,9.14,NA,0.21,438.2,285,206.4,8.61,44.22364,-93.55157,304.3,973.8666666666668
446,2026-04-21,09:17:07,0.241,11.189,12.4,113.2,3.23,0.2,9.35,NA,0.21,438.7,285,206.5,8.61,44.22364,-93.55157,304.4,973.8666666666668
446,2026-04-21,09:17:08,0.264,11.144,12.48,113.7,3.31,0.17,9.54,NA,0.21,439.4,286,206.5,8.61,44.22364,-93.55157,304.3,974
446,2026-04-21,09:17:10,0.313,11.012,12.62,114.7,3.16,0.35,9.69,NA,0.21,441.6,287,206.6,8.6,44.22364,-93.55157,304.4,974.1333333333332
446,2026-04-21,09:17:11,0.335,10.986,12.71,115.4,3.39,0.31,9.7,NA,0.21,441.8,287,206.6,8.6,44.22364,-93.55157,304.4,974
446,2026-04-21,09:17:13,0.385,10.973,12.8,116.2,3.73,0.2,10.89,NA,0.21,441.9,287,206.6,8.6,44.22364,-93.55157,304.4,973.8666666666668
