MULakeNumber,site_latitude,site_longitude
001,NA,NA
002,NA,NA
003,39.3414611040175,-91.15302734164823
004,NA,NA
005,39.02106938096287,-90.9200389296574
006,NA,NA
007,NA,NA
009,NA,NA
010,NA,NA
011,38.35864017473919,-91.53879742268686
012,38.5679854508257,-91.79074674608307
013,38.60129281481481,-92.30233803703705
014,38.31574974498071,-90.59971476431188
015,NA,NA
016,NA,NA
017,NA,NA
018,37.89862430623089,-90.6291842788848
019,37.89568602111851,-90.6217962336892
020,NA,NA
021,37.98186194949524,-90.3230783680658
022,NA,NA
023,NA,NA
024,NA,NA
025,NA,NA
026,NA,NA
027,NA,NA
028,NA,NA
029,NA,NA
030,36.930229016022835,-90.2247874733514
031,NA,NA
032,36.65865248370248,-90.95477765984931
033,36.636470618205536,-91.05273980630596
034,NA,NA
035,NA,NA
036,37.13873645004151,-90.77462420232011
037,37.49799680365297,-90.83453636986302
038,37.591445403225805,-90.5648816935484
039,37.729068992394495,-90.91238389248525
040,NA,NA
041,NA,NA
042,39.190299159070726,-92.20880500643462
043,39.15576832400977,-92.71001442515433
044,39.165475708721246,-92.73082432048653
045,39.59108844534883,-92.89048951100492
046,39.56845116291892,-92.63977064654327
047,NA,NA
048,39.757430246464,-92.51546664189935
049,39.74873678838275,-92.49418616180641
050,NA,NA
051,40.500109084364816,-93.024682841825
052,NA,NA
053,40.448343479513156,-92.20142109874763
054,NA,NA
055,NA,NA
056,NA,NA
057,40.18052790696463,-91.82817198013576
058,NA,NA
059,NA,NA
060,NA,NA
061,NA,NA
062,NA,NA
063,NA,NA
064,NA,NA
065,NA,NA
066,NA,NA
067,NA,NA
068,NA,NA
069,NA,NA
070,38.68697680237804,-94.35853433323928
071,NA,NA
072,39.39932807132112,-94.53172413042371
073,NA,NA
074,39.394095575096514,-94.26226016905183
075,NA,NA
077,NA,NA
078,39.74378604875774,-94.03555932054977
079,NA,NA
080,NA,NA
081,39.80412478572389,-94.38065868108247
082,NA,NA
083,NA,NA
084,NA,NA
085,40.48721256735268,-93.55312641742833
086,NA,NA
087,39.7961299024601,-93.0273783386027
088,39.66274846176549,-92.9961971613125
089,38.26652944180504,-93.35283203262128
090,38.304220334109395,-93.94339301380182
091,38.006468607445996,-94.04800474765422
092,37.90044274117679,-93.31745092428818
093,37.68583536549082,-93.76146473206687
094,37.480289809290184,-94.26070566326317
094-04-00,NA,NA
094-EA-05-00,37.48220560636857,-94.24331957723577
094-EA-05-02,37.482964251656306,-94.24586920946221
094-MD-04-00,37.482969237542626,-94.25171114330047
094-NA-05-00,37.485745180868186,-94.25080721652691
094-SA-03-00,37.47958849218606,-94.25313517407459
094-WL-02-00,NA,NA
094-WL-02-10,NA,NA
094-WL-02-20,NA,NA
094-WL-02-30,NA,NA
095,NA,NA
096,37.31368991735275,-93.20605114566166
097,NA,NA
098,36.592209806313626,-93.3139417437444
098-AX,36.6070736944019,-93.31214699485781
098-MB-02-00,36.60895028409091,-93.31403460227271
099,NA,NA
100,NA,NA
101,NA,NA
102,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,37.94810990192781,-91.64016274716346
111,38.10279202421124,-91.4558346469133
112,37.8981698830489,-90.64292152376231
113,NA,NA
114,40.00643926944336,-91.938411050641207
115,39.70834160225862,-91.8622937210397
116,NA,NA
117,38.90635973281552,-92.12261073750177
118,38.83511559717222,-94.38237992615616
119,39.40072612615741,-92.84289626494565
120,38.813340395113606,-94.353301280607
121,39.06243211196601,-93.66960623899715
123,39.807081419345856,-92.05115829034757
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,40.17240215925356,-92.65454304792071
134,39.99064069445703,-93.8106846165322
137,NA,NA
139,39.722859837748764,-92.91953344132989
140,39.76245187210934,-94.26139772498279
141,NA,NA
143,40.28703418699187,-94.0255706097561
144,NA,NA
145,39.520456674878965,-91.64902760234762
146,37.41834639344262,-90.6181418852459
148,NA,NA
149,38.2059777118545,-92.62742788348277
149-04-10,NA,NA
149-04-20,NA,NA
149-04-30,NA,NA
149-04-40,NA,NA
149-04-50,NA,NA
149-08-00,NA,NA
149-08-10,NA,NA
149-08-20,NA,NA
149-08-30,NA,NA
149-08-40,NA,NA
149-08-50,NA,NA
149-16-10,NA,NA
149-16-20,NA,NA
149-16-30,NA,NA
149-16-40,NA,NA
149-16-50,NA,NA
149-18-10,NA,NA
149-18-20,NA,NA
149-18-30,NA,NA
149-18-40,NA,NA
149-28-10,NA,NA
149-28-20,NA,NA
149-28-30,NA,NA
149-28-40,NA,NA
149-28-50,NA,NA
149-39-10,NA,NA
149-39-20,NA,NA
149-39-30,NA,NA
149-39-40,NA,NA
149-39-50,NA,NA
149-45-10,NA,NA
149-45-20,NA,NA
149-45-30,NA,NA
149-45-50,NA,NA
149-60-10,NA,NA
149-60-20,NA,NA
149-60-21,NA,NA
149-60-30,NA,NA
149-GA-02-10,NA,NA
149-GA-02-20,NA,NA
149-GA-02-30,NA,NA
149-GA-02-40,NA,NA
149-GA-02-50,NA,NA
149-GG-03-10,NA,NA
149-GG-03-20,NA,NA
149-GG-03-30,NA,NA
149-GG-03-40,NA,NA
149-GG-03-50,NA,NA
149-GG-20-04,38.10113076923077,-92.65719907692308
149-NA-32-10,38.01908145833333,-92.82750208333331
149-NA-33-10,NA,NA
149-NA-33-20,NA,NA
149-NA-33-30,NA,NA
149-NA-33-40,NA,NA
149-NA-33-50,NA,NA
149-NA-40-10,NA,NA
149-NA-40-20,NA,NA
149-NA-40-30,NA,NA
149-NA-40-40,NA,NA
149-NA-40-50,NA,NA
150,39.03381863480195,-93.36715064098391
152,NA,NA
157,NA,NA
158,NA,NA
159,NA,NA
161,NA,NA
162,38.98996888111888,-93.78043629370627
163,40.02108893568885,-94.43716319237073
164,40.22514550290233,-93.11549986826637
165,38.888991429009934,-94.32393817925976
166,NA,NA
167,38.88517799130775,-94.31769280467181
168,38.87986604170004,-94.32299526286951
169,38.87413490902643,-94.31502738036681
170,38.86996167842868,-94.33970148939626
179,40.427163730692094,-94.85755762153504
180,40.34953129516286,-95.1331451278118
181,40.350473845187345,-94.77750126568856
182,40.49788652145789,-91.76688378160298
183,38.84579983725349,-93.77739924086598
184,38.591068621820476,-92.80647033539066
185,40.39716246141354,-94.08386898874548
186,37.73084615923029,-90.63409850097958
187,NA,NA
189,NA,NA
190,NA,NA
191,NA,NA
192,39.71693005461005,-93.32238515945141
193,NA,NA
194,NA,NA
195,40.06300559109477,-94.53837280594996
196,NA,NA
197,38.70939316784716,-90.69063293093372
198,NA,NA
199,NA,NA
200,NA,NA
201,NA,NA
202,NA,NA
203,NA,NA
204,NA,NA
210,38.993973295454545,-92.4888334090909
211,39.76290278713659,-94.25829500823983
212,NA,NA
213,39.77379008311739,-94.27196939609394
214,NA,NA
215,NA,NA
216,38.965606538461536,-91.73466455128204
218,NA,NA
219,38.9940798200902,-92.48899997347462
220,NA,NA
221,NA,NA
222,NA,NA
223,NA,NA
224,40.02553947839716,-94.73321049630147
225,NA,NA
226,NA,NA
227,NA,NA
228,39.99829606344704,-93.84271590848238
229,NA,NA
230,NA,NA
232,39.151123047787536,-92.38522984545139
233,NA,NA
234,NA,NA
235,NA,NA
236,38.94724981981982,-91.90898648648648
237,40.20019280548915,-93.10477688032113
238,NA,NA
239,NA,NA
240,NA,NA
241,38.896172764086295,-92.2939714581196
242,NA,NA
243,NA,NA
244,NA,NA
245,NA,NA
246,NA,NA
247,NA,NA
248,38.778873745704466,-92.6013804467354
249,NA,NA
250,NA,NA
251,NA,NA
252,NA,NA
253,NA,NA
254,NA,NA
256,NA,NA
257,NA,NA
258,38.47764913793103,-92.39735646551723
260,NA,NA
261,NA,NA
263,NA,NA
264,NA,NA
265,38.463536172289466,-94.60768449340145
266,NA,NA
267,NA,NA
268,NA,NA
269,37.59180272835785,-90.6577780202485
270,NA,NA
271,NA,NA
272,39.42366319446178,-91.6745391151289
273,NA,NA
274,38.75010786681723,-91.08152616683273
276,38.75550139332877,-92.20631259796127
308,38.95068522978462,-92.30708699314987
317,39.81542697172053,-94.3832678760248
411,38.89548798032936,-92.35308413869275
420,38.47442768602583,-91.39038790660251
423,38.47343010623239,-91.26764941188536
432,38.66446086582693,-94.33905546255907
433,38.66198867339638,-94.34587841893766
435,NA,NA
438,38.90140990253525,-92.34225860211588
440,38.89371905505549,-91.73740794289331
446-01-00,44.22442625985434,-93.55670113006484
446-02-00,44.221616805555556,-93.56584368055556
454,38.33377393852189,-90.65446725191428
455,39.476677545326154,-94.31687956301931
